Reconstruction_error,True_class
0.023480421322786188,0
0.05038724780887094,0
0.03922749402944974,0
0.037744600809693864,1
0.044180321668884234,0
0.05016471281258125,1
0.0445912569800771,0
0.03212497966284551,0
0.03253765810320298,0
0.0346457127903276,0
0.033297883430312446,0
0.03031270114755934,0
0.030082981409289354,0
0.029942259194653063,0
0.029985002754479115,0
0.038897656459262825,0
0.03984893263271032,0
0.04370703632810813,0
0.043528553203799954,0
0.032707819044626586,0
0.03761864257701656,0
0.029827967338146334,0
0.03283808475901899,0
0.02937496465863784,0
0.031163126059268676,0
0.07552089360509864,0
0.03937735432199569,0
0.04003475862038504,0
0.04303467820440535,0
0.043039561314098224,0
0.05386156181562358,0
0.04675140982012753,0
0.03669320726476064,0
0.03861427203170382,1
0.03287187296036842,0
0.026452173496001857,0
0.02966287888640249,0
0.010886526597925661,0
0.008818887186368175,0
0.006923276715781384,0
0.010903387043684069,0
0.03877277964341584,0
0.011694333901285525,0
0.009592174153032457,0
0.010931690749011715,0
0.00825432463654567,0
0.008976522849683309,0
0.00574583783586822,0
0.007998200966617523,0
0.007889007972369678,0
0.013029496554901564,0
0.0349501078679034,0
0.005467366519032467,0
0.004887645453438752,0
0.0059773149331732115,0
0.012230154215499257,0
0.005290440303797543,0
0.005296670239884203,0
0.005965892529248576,0
0.011402213108546545,1
0.01871889913471013,0
0.012858655678249545,0
0.009861342002302646,0
0.009791267954454681,0
0.009848088717165688,0
0.011202494859460347,0
0.014292874457141731,0
0.014753961998613105,0
0.0450855123402403,0
0.015376679529602935,0
0.031823007821742216,0
0.02099166417479037,0
0.02430338592700995,0
0.01837433087397091,0
0.04928733119069358,0
0.0183733108341982,0
0.014644766427960212,1
0.01472255689289512,0
0.01657726770897138,0
0.01061661343084911,0
0.01273290533204553,1
0.012648623070871985,0
0.009345706760016404,0
0.010578997042442598,0
0.0756220488308619,0
0.0721386744237267,0
0.08765054570189978,0
0.0744760377513994,0
0.07449673272284615,0
0.07733800833446103,0
0.0328695168988158,1
0.03281855318653876,0
0.1426684920292337,0
0.05223132671969549,1
0.10949253917813218,0
0.05226025547264657,0
0.04415091142310858,0
0.05513475927933517,0
0.045856037981336153,1
0.047298120148851604,0
0.04301821823445468,0
0.04405381339254673,0
0.01835055158408471,0
0.01950593637905521,0
0.014756652020574159,0
0.03910445452756834,0
0.011600124548904682,0
0.01223359987635371,0
0.013742618673313486,0
0.013315171676028421,0
0.017393890454693153,0
0.030207305772668093,0
0.02135191607835104,0
0.026272138006463875,0
0.017271416930628752,0
0.017064833611212797,0
0.0168198833490295,0
0.014971816353620541,0
0.014483331038427498,0
0.01438132590058672,0
0.017277038005950162,0
0.014595799255030453,0
0.017401118760163543,0
0.02125049400215495,0
0.01812235581619108,1
0.015061948548024128,0
0.022212573263944668,0
0.02338384316240507,0
0.01591376545807601,0
0.027184965505794384,0
0.029006620396390768,1
0.03374097368212436,0
0.0432318251893789,0
0.03111696655112035,0
0.01058938381722543,0
0.008464581035286267,0
0.012556161056942594,0
0.015949800577988706,0
0.017635382699563926,0
0.04679848868457921,0
0.03584899231061696,0
0.009476852391873103,0
0.009461951671333499,0
0.004984042735944584,0
0.005702303175099436,0
0.004405393232832374,0
0.03860810475284558,0
0.01012603353879046,0
0.03643549834739712,0
0.007217315327963027,0
0.017732793181119488,0
0.007964894503044528,0
0.007719015816697134,0
0.01656646663823147,0
0.014724255753660645,0
0.014105249755644679,0
0.011904284965350651,0
0.014343226176651592,0
0.05561983006804552,0
0.014080220453383105,0
0.017874365320890408,1
0.009026994261744786,0
0.05036215187274971,0
0.011311699591966328,0
0.012977598457075645,0
0.011211317401014203,0
0.009945730052051018,0
0.008853315324783076,0
0.0025045848191555683,0
0.004452700472336182,0
0.00988380923312112,0
0.017097941454368187,0
0.0044885893094970975,0
0.014874368080055106,0
0.005533522557051014,0
0.006259547576276866,0
0.010682843231099555,0
0.015654557555325865,0
0.005416332329781386,0
0.006015767874492196,0
0.004660896767889406,0
0.00643712085038867,0
0.006464060681376064,0
0.009543207617887357,0
0.0133171337717265,0
0.013845791208335172,0
0.016051052294014313,1
0.015261712262970599,0
0.023492806308154254,0
0.023380957190504766,0
0.02220216180192932,0
0.023445264921206733,0
0.020118575599339963,0
0.048721612825540946,0
0.03243247939414283,0
0.02871855943347322,1
0.0190166526208302,0
0.026652150742640435,0
0.015090673757746944,0
0.016101761518074655,0
0.016036571867186003,0
0.016386327248799435,0
0.017332674950397697,0
0.01580393530647997,0
0.019246180984937435,0
0.021199304988906865,0
0.01777085709886786,0
0.01972590121490732,0
0.021142708410303777,0
0.016540595664251735,0
0.014248692859179783,0
0.014958492925463134,0
0.021009281978004255,0
0.021655807082996012,0
0.020293110376023316,0
0.02166499671516695,0
0.026116154646931268,0
0.02921632134751633,0
0.0340790322638604,0
0.03151026219232628,0
0.01747199764885745,0
0.018723087071641324,0
0.019132272518118297,0
0.024483716554588995,0
0.01915365895179534,0
0.02038189815853924,0
0.027593440254940628,0
0.028710329165713186,0
0.03754148801331372,0
0.021970069479593925,0
0.02107670845498539,0
0.015067289984198838,0
0.013569777425591761,0
0.013265357342096233,0
0.02643240693327485,0
0.016242863214510635,0
0.01568782247520831,0
0.013094069389973009,0
0.028263949486908677,0
0.013663004883557994,0
0.01281684954599107,0
0.012120332622756878,0
0.013371410336347488,0
0.009605186944660653,0
0.013604302176931274,0
0.009900286156984945,1
0.009897075399183495,0
0.008385365478690388,0
0.01606853145570989,1
0.026028789455952196,0
0.007160012124402131,0
0.006301640886408635,0
0.006892758378899161,0
0.008941345864219187,0
0.018285686529459954,0
0.023710438757846397,0
0.007041830665611995,0
0.018385368470354622,0
0.01506536496783642,0
0.007980788477860738,0
0.017166670625705566,0
0.044015474147236916,0
0.01784707176738908,0
0.009531821029435204,0
0.020164202367040703,0
0.006044774387659815,0
0.016002873685964453,1
0.009866782796376514,0
0.006911784290345259,0
0.017772006611876525,0
0.007098215303115283,0
0.007993083998784158,0
0.008579694434376867,0
0.007019558720345173,0
0.00857241892880813,0
0.0077628663862665745,0
0.01066492139460773,1
0.014237715042137663,0
0.016074591559823923,0
0.011948596622353879,0
0.021481742970110525,0
0.016739722146350663,0
0.006451999647279653,0
0.03711666828480449,0
0.008763398534273787,0
0.010225818557676304,0
0.019529701338780132,0
0.008474767891389666,0
0.00843213166949339,0
0.03588360717308079,0
0.008157067053144385,0
0.03476628453945733,0
0.006587986092306247,0
0.007298812138211068,0
0.01890722560050466,1
0.007203548652620382,0
0.04349956406720537,0
0.05377429148495334,0
0.059379405360598256,0
0.008734267479550629,0
0.03552510656494236,0
0.02632945846282636,0
0.009792455269145045,0
0.08513925647145798,0
0.043309943928971695,0
0.02340912538290955,0
0.01853528721637974,0
0.012042956557122172,0
0.02720088719339811,0
0.014383010222873083,0
0.030659997405394993,0
0.018700999061644734,0
0.010239766761324985,0
0.01796781564064654,0
0.020063973258803353,0
